tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target
7/30/2020,Bayar Kosan Tahunan,13940000,80000,680000,13260000
11/7/2020,Rakit PC Gaming,14090000,250000,5060000,9030000
12/26/2020,DP Motor Baru,5430000,780000,5430000,0
8/15/2024,Modal Nikah/Tunangan,65260000,70000,57580000,7680000
3/27/2022,,2530000,190000,2530000,0
1/23/2022,Beli Laptop Skripsi,7920000,1300000,3210000,4710000
5/19/2022,Bayar Kosan Tahunan,16660000,-100000,6180000,10480000
2/15/2022,Modal Nikah/Tunangan,97510000,20000,1260000,96250000
7/22/2021,Tiket DWP / Pestapora,1910000,290000,500000,1410000
4/3/2022,Beli Kamera Analog/Mirrorless,7780000,470000,7780000,0
3/17/2022,Uang Kondangan Temen,450000,,340000,110000
8/31/2020,Beli iPad/Tablet Nugas,5950000,80000,1440000,4510000
3/14/2022,Servis Turun Mesin,2570000,80000,290000,2280000
3/9/2022,Servis Turun Mesin,2630000,90000,1130000,1500000
4/22/2024,Modal Nikah/Tunangan,85960000,80000,69170000,16790000
2/12/2022,Beli Kamera Analog/Mirrorless,3320000,160000,330000,2990000
5/2/2021,Sewa Server/VPS Tahunan,1830000,10000,10000,1820000
3/23/2024,Modal Nikah/Tunangan,85960000,70000,66560000,19400000
3/15/2022,Beli Magic Com & Dispenser,580000,20000,230000,350000
12/19/2020,,4700000,190000,840000,3860000
6/11/2022,Modal Nikah/Tunangan,87840000,100000,20620000,67220000
5/11/2021,Bayar UKT Semester Depan,7260000,210000,7060000,200000
8/18/2021,Rakit PC Gaming,10380000,80000,5210000,5170000
3/15/2022,,10450000,160000,3940000,6510000
4/14/2020,Beli Emas Antam,5330000,80000,560000,4770000
10/1/2021,,7830000,400000,7830000,0
1/11/2021,Beli iPad/Tablet Nugas,6240000,1300000,3950000,2290000
1/10/2022,Beli Game Steam/PS,330000,30000,40000,290000
3/15/2022,Beli Motor Bekas,9460000,180000,4310000,5150000
7/27/2021,Modif Motor/Ganti Knalpot,2420000,280000,2080000,340000
4/23/2020,Beli Motor Bekas,9560000,90000,2920000,6640000
5/16/2022,Rakit PC Gaming,21690000,160000,4960000,16730000
5/27/2021,Liburan ke Bali/Jogja,2380000,800000,2380000,0
9/26/2021,Modal Nikah/Tunangan,15510000,40000,10260000,5250000
7/1/2022,Liburan ke Bali/Jogja,4680000,250000,4590000,90000
5/3/2022,Nabung Bayar Utang/Pinjol,4450000,50000,2270000,2180000
6/18/2021,Beli Parfum Lokal,410000,,400000,10000
3/13/2022,Upgrade HP Baru,6370000,20000,1240000,5130000
4/26/2022,DP Motor Baru,4930000,160000,4670000,260000
12/31/2020,Modif Motor/Ganti Knalpot,2570000,80000,2570000,0
3/11/2024,Modal Nikah/Tunangan,65260000,50000,51170000,14090000
1/9/2022,Kursus Bootcamp IT/Data Science,3130000,10000,200000,2930000
5/2/2021,Liburan ke Bali/Jogja,6400000,40000,4160000,2240000
4/6/2020,,13240000,100000,100000,13140000
4/6/2022,Sewa Server/VPS Tahunan,2220000,10000,1000000,1220000
5/21/2021,Rakit PC Gaming,24690000,50000,21970000,2720000
12/3/2020,Bayar Kosan Tahunan,13940000,110000,4990000,8950000
6/4/2020,Servis Turun Mesin,810000,70000,110000,700000
1/25/2024,Modal Nikah/Tunangan,85960000,1400000,64900000,21060000
3/27/2022,Beli Emas Antam,8800000,,3670000,5130000
7/26/2021,Rakit PC Gaming,21710000,90000,6690000,15020000
12/23/2021,Modal Nikah/Tunangan,87840000,500000,6740000,81100000
10/3/2021,Dana Darurat,14380000,60000,11440000,2940000
3/21/2022,Beli Motor Bekas,8340000,340000,8340000,0
8/30/2021,DP Motor Baru,7950000,60000,7090000,860000
5/12/2021,Dana Darurat,19490000,150000,3530000,15960000
4/30/2021,Beli iPad/Tablet Nugas,10990000,50000,4250000,6740000
2/9/2022,Beli Sepeda Lipat/Fixie,3350000,,120000,3230000
1/15/2021,Bayar Kosan Tahunan,11230000,40000,10770000,460000
12/20/2020,Beli Kamera Analog/Mirrorless,3950000,190000,1560000,2390000
5/18/2022,Dana Darurat,7500000,60000,4490000,3010000
