id_tabungan,counter_tabungan,tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,status,keterangan
TAB - 0001,1,12-Jun-21,Dana Darurat,9720000.0,1134942,1134942,8585058,belum selesai,nan
TAB-0001,2,2021-06-26,,9720000.0,948640,2083582,7636418,Belum Selesai,Cash
TAB-0001,3,2021-07-15,Dana Darurat,9720000.0,1056415,3139997,6580003,Belum Selesai,Cash
TAB-0001,4,2021-07-22,DANA DARURAT,9720000.0,1036500,4176497,5543503,BELUM SELESAI,Cash
TAB-0001,5,2021-08-08,   dana darurat  ,9720000.0,Rp. 958.707,5135204,4584796,Belum Selesai,Cash
tb_0001,6,2021-08-24,Dana Darurat,9720000.0,906476,6041680,3678320,Belum Selesai,nan
TAB-0001,7,Bulan lalu,Dana Darurat,9720000.0,760403,6802083,2917917,Belum Selesai,Transfer
TAB-0001,8,Lupa nyatet,Dana Darurat,9720000.0,Rp. 1.052.695,7854778,1865222,Belum Selesai,Via ATM
TAB-0001,9,2021-11-06,Dana Darurat,972000000.0,928793,8783571,936429,Belum Selesai,Via ATM
tb_0001,10,2021-12-04,,9720000.0,Rp. 936.429,9720000,0,Selesai,Cash
TAB-0002,1,2021-04-12,Beli iPad/Tablet Nugas,6240000.0,220329,220329,6019671,Belum Selesai,Transfer
TAB-0002,2,2021-05-12,Beli iPad/Tablet Nugas,6240000.0,178688,399017,5840983,Belum Selesai,Transfer
TAB-0002,3,2021-06-03,,6240000.0,190802,589819,5650181,Belum Selesai,Via ATM
TAB - 0002,4,10-Jun-21,BELI IPAD/TABLET NUGAS,6240000.0,203923,793742,5446258,Belum Selesai,Transfer
TAB-0002,5,Kemarin,Beli iPad/Tablet Nugas,6240000.0,162409,956151,5283849,Belm Selesai,Cash
TAB-0002,6,11-Aug-21,Beli iPad/Tablet Nugas,,214692,1170843,5069157,Belum Selesai,nan
TAB-0002,7,31-Aug-21,Beli iPad/Tablet Nugas,6240000.0,211k,1382345,4857655,Belum Selesai,Via ATM
TAB - 0002,8,2021-09-14,   beli ipad/tablet nugas  ,6240000.0,158986,1541331,4698669,Belum Selesai,Via ATM
